type;number of algorithm;size;time;
рандом от 0 до 5_2;8;2500;3311094;
рандом от 0 до 5_2;9;2500;176145;
рандом от 0 до 5_2;10;2500;26568798;
рандом от 0 до 5_2;11;2500;445516;
рандом от 0 до 5_2;12;2500;629015;
рандом от 0 до 5_2;0;2600;17741899;
рандом от 0 до 5_2;1;2600;58032893;
рандом от 0 до 5_2;2;2600;58066715;
рандом от 0 до 5_2;3;2600;78400545;
рандом от 0 до 5_2;4;2600;346034;
рандом от 0 до 5_2;5;2600;1013823;
рандом от 0 до 5_2;6;2600;22635479;
рандом от 0 до 5_2;7;2600;1781247;
рандом от 0 до 5_2;8;2600;4061466;
рандом от 0 до 5_2;9;2600;217052;
рандом от 0 до 5_2;10;2600;36247579;
рандом от 0 до 5_2;11;2600;1295810;
рандом от 0 до 5_2;12;2600;636324;
рандом от 0 до 5_2;0;2700;22895053;
рандом от 0 до 5_2;1;2700;77626753;
рандом от 0 до 5_2;2;2700;62098272;
рандом от 0 до 5_2;3;2700;68369321;
рандом от 0 до 5_2;4;2700;235237;
рандом от 0 до 5_2;5;2700;920323;
рандом от 0 до 5_2;6;2700;14682380;
рандом от 0 до 5_2;7;2700;762382;
рандом от 0 до 5_2;8;2700;2589630;
