type;number of algorithm;size;operations;
рандом от 0 до 5_2;12;1800;92951;
рандом от 0 до 5_2;0;1900;4531720;
рандом от 0 до 5_2;1;1900;9020250;
рандом от 0 до 5_2;2;1900;10849983;
рандом от 0 до 5_2;3;1900;16150374;
рандом от 0 до 5_2;4;1900;36127;
рандом от 0 до 5_2;5;1900;316230;
рандом от 0 до 5_2;6;1900;3696334;
рандом от 0 до 5_2;7;1900;267355;
рандом от 0 до 5_2;8;1900;636653;
рандом от 0 до 5_2;9;1900;25732;
рандом от 0 до 5_2;10;1900;5420270;
рандом от 0 до 5_2;11;1900;84026;
рандом от 0 до 5_2;12;1900;96308;
рандом от 0 до 5_2;0;2000;5040710;
рандом от 0 до 5_2;1;2000;9995000;
рандом от 0 до 5_2;2;2000;12013190;
рандом от 0 до 5_2;3;2000;17996306;
рандом от 0 до 5_2;4;2000;38027;
рандом от 0 до 5_2;5;2000;335956;
рандом от 0 до 5_2;6;2000;4105114;
рандом от 0 до 5_2;7;2000;282574;
рандом от 0 до 5_2;8;2000;707367;
рандом от 0 до 5_2;9;2000;27032;
рандом от 0 до 5_2;10;2000;6005583;
рандом от 0 до 5_2;11;2000;88934;
рандом от 0 до 5_2;12;2000;102915;
рандом от 0 до 5_2;0;2100;5604817;
рандом от 0 до 5_2;1;2100;11019750;
рандом от 0 до 5_2;2;2100;13199452;
рандом от 0 до 5_2;3;2100;19870856;
рандом от 0 до 5_2;4;2100;39927;
рандом от 0 до 5_2;5;2100;353414;
рандом от 0 до 5_2;6;2100;4570684;
рандом от 0 до 5_2;7;2100;298467;
рандом от 0 до 5_2;8;2100;776257;
рандом от 0 до 5_2;9;2100;28332;
рандом от 0 до 5_2;10;2100;6620863;
рандом от 0 до 5_2;11;2100;94014;
рандом от 0 до 5_2;12;2100;118031;
рандом от 0 до 5_2;0;2200;6150536;
рандом от 0 до 5_2;1;2200;12094500;
рандом от 0 до 5_2;2;2200;14497825;
рандом от 0 до 5_2;3;2200;21781177;
рандом от 0 до 5_2;4;2200;41827;
рандом от 0 до 5_2;5;2200;372783;
рандом от 0 до 5_2;6;2200;5009919;
рандом от 0 до 5_2;7;2200;314737;
рандом от 0 до 5_2;8;2200;852249;
рандом от 0 до 5_2;9;2200;29632;
рандом от 0 до 5_2;10;2200;7266149;
рандом от 0 до 5_2;11;2200;98926;
рандом от 0 до 5_2;12;2200;125311;
рандом от 0 до 5_2;0;2300;6720451;
рандом от 0 до 5_2;1;2300;13219250;
рандом от 0 до 5_2;2;2300;15844738;
рандом от 0 до 5_2;3;2300;23796948;
рандом от 0 до 5_2;4;2300;43727;
рандом от 0 до 5_2;5;2300;393280;
рандом от 0 до 5_2;6;2300;5461324;
рандом от 0 до 5_2;7;2300;331304;
рандом от 0 до 5_2;8;2300;921733;
рандом от 0 до 5_2;9;2300;30932;
рандом от 0 до 5_2;10;2300;7941409;
рандом от 0 до 5_2;11;2300;103638;
рандом от 0 до 5_2;12;2300;127305;
рандом от 0 до 5_2;0;2400;7347123;
рандом от 0 до 5_2;1;2400;14394000;
рандом от 0 до 5_2;2;2400;17230973;
рандом от 0 до 5_2;3;2400;25965272;
рандом от 0 до 5_2;4;2400;45627;
рандом от 0 до 5_2;5;2400;412074;
рандом от 0 до 5_2;6;2400;5971504;
рандом от 0 до 5_2;7;2400;347603;
рандом от 0 до 5_2;8;2400;1004941;
рандом от 0 до 5_2;9;2400;32232;
рандом от 0 до 5_2;10;2400;8646695;
рандом от 0 до 5_2;11;2400;108902;
рандом от 0 до 5_2;12;2400;138179;
рандом от 0 до 5_2;0;2500;8014052;
