type; algorithm; size; operations
рандом от 0 до 5;1600;86967;
рандом от 0 до 5;1700;3543382;
рандом от 0 до 5;1700;7220750;
рандом от 0 до 5;1700;8587397;
рандом от 0 до 5;1700;13020193;
рандом от 0 до 5;1700;32327;
рандом от 0 до 5;1700;279095;
рандом от 0 до 5;1700;3038559;
рандом от 0 до 5;1700;236951;
рандом от 0 до 5;1700;514151;
рандом от 0 до 5;1700;23132;
рандом от 0 до 5;1700;4339663;
рандом от 0 до 5;1700;74174;
рандом от 0 до 5;1700;86905;
рандом от 0 до 5;1800;3933453;
рандом от 0 до 5;1800;8095500;
рандом от 0 до 5;1800;9664458;
рандом от 0 до 5;1800;14620524;
рандом от 0 до 5;1800;34227;
рандом от 0 до 5;1800;296538;
рандом от 0 до 5;1800;3374744;
рандом от 0 до 5;1800;252134;
рандом от 0 до 5;1800;572939;
рандом от 0 до 5;1800;24432;
рандом от 0 до 5;1800;4864912;
рандом от 0 до 5;1800;78786;
рандом от 0 до 5;1800;94610;
рандом от 0 до 5;1900;4381985;
рандом от 0 до 5;1900;9020250;
рандом от 0 до 5;1900;10753037;
рандом от 0 до 5;1900;16308065;
рандом от 0 до 5;1900;36127;
рандом от 0 до 5;1900;313730;
рандом от 0 до 5;1900;3770099;
рандом от 0 до 5;1900;267437;
рандом от 0 до 5;1900;633963;
рандом от 0 до 5;1900;25732;
рандом от 0 до 5;1900;5420224;
рандом от 0 до 5;1900;83746;
рандом от 0 до 5;1900;96851;
рандом от 0 до 5;2000;4815461;
рандом от 0 до 5;2000;9995000;
рандом от 0 до 5;2000;11946140;
рандом от 0 до 5;2000;18056024;
рандом от 0 до 5;2000;38027;
рандом от 0 до 5;2000;334627;
рандом от 0 до 5;2000;4143744;
рандом от 0 до 5;2000;282569;
рандом от 0 до 5;2000;701833;
рандом от 0 до 5;2000;27032;
рандом от 0 до 5;2000;6005502;
рандом от 0 до 5;2000;88254;
рандом от 0 до 5;2000;103617;
рандом от 0 до 5;2100;5337741;
рандом от 0 до 5;2100;11019750;
рандом от 0 до 5;2100;13137152;
рандом от 0 до 5;2100;19949661;
рандом от 0 до 5;2100;39927;
рандом от 0 до 5;2100;353379;
рандом от 0 до 5;2100;4601279;
рандом от 0 до 5;2100;298391;
рандом от 0 до 5;2100;774573;
рандом от 0 до 5;2100;28332;
рандом от 0 до 5;2100;6620794;
рандом от 0 до 5;2100;93326;
рандом от 0 до 5;2100;117917;
рандом от 0 до 5;2200;5889594;
рандом от 0 до 5;2200;12094500;
рандом от 0 до 5;2200;14383228;
рандом от 0 до 5;2200;21917397;
рандом от 0 до 5;2200;41827;
рандом от 0 до 5;2200;372379;
рандом от 0 до 5;2200;5092179;
рандом от 0 до 5;2200;314925;
рандом от 0 до 5;2200;849535;
рандом от 0 до 5;2200;29632;
рандом от 0 до 5;2200;7266038;
рандом от 0 до 5;2200;98674;
рандом от 0 до 5;2200;125251;
рандом от 0 до 5;2300;6406489;
рандом от 0 до 5;2300;13219250;
рандом от 0 до 5;2300;15755143;
рандом от 0 до 5;2300;23879568;
рандом от 0 до 5;2300;43727;
рандом от 0 до 5;2300;392867;
рандом от 0 до 5;2300;5536824;
рандом от 0 до 5;2300;331422;
рандом от 0 до 5;2300;927581;
рандом от 0 до 5;2300;30932;
рандом от 0 до 5;2300;7941375;
рандом от 0 до 5;2300;103566;
рандом от 0 до 5;2300;129039;
рандом от 0 до 5;2400;6931213;
рандом от 0 до 5;2400;14394000;
рандом от 0 до 5;2400;17190617;
рандом от 0 до 5;2400;25978484;
рандом от 0 до 5;2400;45627;
рандом от 0 до 5;2400;414374;
рандом от 0 до 5;2400;5981484;
рандом от 0 до 5;2400;347761;
рандом от 0 до 5;2400;1005629;
рандом от 0 до 5;2400;32232;
рандом от 0 до 5;2400;8646601;
рандом от 0 до 5;2400;108094;
рандом от 0 до 5;2400;138947;
рандом от 0 до 5;2500;7548173;
рандом от 0 до 5;2500;15618750;
рандом от 0 до 5;2500;18620447;
рандом от 0 до 5;2500;28237602;
рандом от 0 до 5;2500;47527;
рандом от 0 до 5;2500;432722;
рандом от 0 до 5;2500;6529234;
