type; size; time
рандом от 0 до 5;2200;72229;
рандом от 0 до 5;2200;13064228;
рандом от 0 до 5;2200;203475;
рандом от 0 до 5;2200;243575;
рандом от 0 до 5;2300;5688028;
рандом от 0 до 5;2300;32033117;
рандом от 0 до 5;2300;38502778;
рандом от 0 до 5;2300;44628736;
рандом от 0 до 5;2300;155729;
рандом от 0 до 5;2300;827687;
рандом от 0 до 5;2300;6662724;
рандом от 0 до 5;2300;341637;
рандом от 0 до 5;2300;4790037;
рандом от 0 до 5;2300;81875;
рандом от 0 до 5;2300;24593247;
рандом от 0 до 5;2300;245406;
рандом от 0 до 5;2300;269267;
рандом от 0 до 5;2400;8285365;
рандом от 0 до 5;2400;50250051;
рандом от 0 до 5;2400;38284659;
рандом от 0 до 5;2400;33071151;
рандом от 0 до 5;2400;79442;
рандом от 0 до 5;2400;579795;
рандом от 0 до 5;2400;6670838;
рандом от 0 до 5;2400;342814;
рандом от 0 до 5;2400;1491153;
рандом от 0 до 5;2400;39819;
рандом от 0 до 5;2400;11698637;
рандом от 0 до 5;2400;190291;
рандом от 0 до 5;2400;285609;
рандом от 0 до 5;2500;6180843;
рандом от 0 до 5;2500;35619535;
рандом от 0 до 5;2500;37128111;
рандом от 0 до 5;2500;38098487;
рандом от 0 до 5;2500;83335;
рандом от 0 до 5;2500;628247;
рандом от 0 до 5;2500;7627734;
рандом от 0 до 5;2500;403466;
рандом от 0 до 5;2500;1656231;
рандом от 0 до 5;2500;41779;
рандом от 0 до 5;2500;13381823;
рандом от 0 до 5;2500;413665;
рандом от 0 до 5;2500;290875;
рандом от 0 до 5;2600;7057035;
рандом от 0 до 5;2600;39025627;
рандом от 0 до 5;2600;37895283;
рандом от 0 до 5;2600;42057650;
рандом от 0 до 5;2600;90532;
рандом от 0 до 5;2600;617315;
рандом от 0 до 5;2600;7509989;
рандом от 0 до 5;2600;404490;
рандом от 0 до 5;2600;1808897;
рандом от 0 до 5;2600;63882;
рандом от 0 до 5;2600;14285394;
рандом от 0 до 5;2600;212575;
рандом от 0 до 5;2600;266392;
рандом от 0 до 5;2700;7032791;
рандом от 0 до 5;2700;39283807;
рандом от 0 до 5;2700;39820991;
рандом от 0 до 5;2700;40844463;
рандом от 0 до 5;2700;86159;
рандом от 0 до 5;2700;577120;
рандом от 0 до 5;2700;8093664;
рандом от 0 до 5;2700;387011;
рандом от 0 до 5;2700;1788527;
рандом от 0 до 5;2700;46574;
рандом от 0 до 5;2700;16435606;
рандом от 0 до 5;2700;246147;
рандом от 0 до 5;2700;293049;
рандом от 0 до 5;2800;7648802;
рандом от 0 до 5;2800;41881591;
рандом от 0 до 5;2800;41060402;
рандом от 0 до 5;2800;46555233;
рандом от 0 до 5;2800;99626;
рандом от 0 до 5;2800;593534;
рандом от 0 до 5;2800;8439998;
рандом от 0 до 5;2800;512115;
рандом от 0 до 5;2800;1822776;
рандом от 0 до 5;2800;46311;
рандом от 0 до 5;2800;15274562;
рандом от 0 до 5;2800;255898;
рандом от 0 до 5;2800;304939;
рандом от 0 до 5;2900;7781653;
рандом от 0 до 5;2900;45445271;
рандом от 0 до 5;2900;45167105;
рандом от 0 до 5;2900;48136163;
рандом от 0 до 5;2900;103764;
рандом от 0 до 5;2900;812969;
рандом от 0 до 5;2900;9584070;
рандом от 0 до 5;2900;449879;
рандом от 0 до 5;2900;2277375;
рандом от 0 до 5;2900;72633;
рандом от 0 до 5;2900;16966058;
рандом от 0 до 5;2900;267714;
рандом от 0 до 5;2900;328225;
рандом от 0 до 5;3000;8556138;
рандом от 0 до 5;3000;46505719;
рандом от 0 до 5;3000;48966973;
рандом от 0 до 5;3000;51161399;
рандом от 0 до 5;3000;101168;
рандом от 0 до 5;3000;610386;
рандом от 0 до 5;3000;10293387;
рандом от 0 до 5;3000;438789;
рандом от 0 до 5;3000;2601111;
рандом от 0 до 5;3000;57249;
рандом от 0 до 5;3000;18016264;
рандом от 0 до 5;3000;277472;
рандом от 0 до 5;3000;344123;
рандом от 0 до 5;3100;8762940;
рандом от 0 до 5;3100;50833977;
рандом от 0 до 5;3100;53072142;
рандом от 0 до 5;3100;54767036;
рандом от 0 до 5;3100;101426;
рандом от 0 до 5;3100;704042;
рандом от 0 до 5;3100;10424748;
рандом от 0 до 5;3100;741795;
рандом от 0 до 5;3100;2344366;
рандом от 0 до 5;3100;51367;
рандом от 0 до 5;3100;18492413;
рандом от 0 до 5;3100;255954;
рандом от 0 до 5;3100;331128;
рандом от 0 до 5;3200;9406151;
рандом от 0 до 5;3200;56172025;
рандом от 0 до 5;3200;58180634;
рандом от 0 до 5;3200;59398622;
рандом от 0 до 5;3200;102543;
рандом от 0 до 5;3200;855520;
рандом от 0 до 5;3200;11538507;
рандом от 0 до 5;3200;661995;
рандом от 0 до 5;3200;2617320;
рандом от 0 до 5;3200;52835;
рандом от 0 до 5;3200;19661208;
рандом от 0 до 5;3200;250588;
рандом от 0 до 5;3200;378466;
рандом от 0 до 5;3300;10096181;
рандом от 0 до 5;3300;58850794;
рандом от 0 до 5;3300;58808468;
рандом от 0 до 5;3300;71145767;
рандом от 0 до 5;3300;251055;
рандом от 0 до 5;3300;1058404;
рандом от 0 до 5;3300;15667921;
рандом от 0 до 5;3300;493200;
рандом от 0 до 5;3300;2709198;
рандом от 0 до 5;3300;58049;
рандом от 0 до 5;3300;21900031;
рандом от 0 до 5;3300;325701;
рандом от 0 до 5;3300;447639;
рандом от 0 до 5;3400;12271379;
рандом от 0 до 5;3400;64095095;
рандом от 0 до 5;3400;66876698;
рандом от 0 до 5;3400;70505190;
рандом от 0 до 5;3400;124821;
рандом от 0 до 5;3400;708101;
рандом от 0 до 5;3400;13368646;
рандом от 0 до 5;3400;521723;
рандом от 0 до 5;3400;3295438;
рандом от 0 до 5;3400;68836;
рандом от 0 до 5;3400;26383139;
рандом от 0 до 5;3400;329480;
рандом от 0 до 5;3400;424201;
рандом от 0 до 5;3500;12082933;
рандом от 0 до 5;3500;69642692;
рандом от 0 до 5;3500;68539107;
рандом от 0 до 5;3500;71596927;
рандом от 0 до 5;3500;123269;
рандом от 0 до 5;3500;764296;
рандом от 0 до 5;3500;13297798;
рандом от 0 до 5;3500;538480;
рандом от 0 до 5;3500;2885360;
рандом от 0 до 5;3500;57054;
рандом от 0 до 5;3500;24452115;
рандом от 0 до 5;3500;413889;
рандом от 0 до 5;3500;353231;
рандом от 0 до 5;3600;13644557;
рандом от 0 до 5;3600;73076021;
рандом от 0 до 5;3600;70146661;
рандом от 0 до 5;3600;73108987;
рандом от 0 до 5;3600;144627;
рандом от 0 до 5;3600;821051;
рандом от 0 до 5;3600;13241528;
рандом от 0 до 5;3600;620981;
рандом от 0 до 5;3600;3117344;
рандом от 0 до 5;3600;72630;
рандом от 0 до 5;3600;24528940;
рандом от 0 до 5;3600;323231;
рандом от 0 до 5;3600;462160;
рандом от 0 до 5;3700;13857898;
рандом от 0 до 5;3700;75137574;
рандом от 0 до 5;3700;79359717;
рандом от 0 до 5;3700;85810577;
рандом от 0 до 5;3700;293921;
рандом от 0 до 5;3700;1197893;
рандом от 0 до 5;3700;15144962;
рандом от 0 до 5;3700;631317;
рандом от 0 до 5;3700;3336344;
рандом от 0 до 5;3700;64215;
рандом от 0 до 5;3700;26071081;
рандом от 0 до 5;3700;357850;
рандом от 0 до 5;3700;395577;
рандом от 0 до 5;3800;13765788;
рандом от 0 до 5;3800;77117335;
рандом от 0 до 5;3800;75458665;
рандом от 0 до 5;3800;82783572;
рандом от 0 до 5;3800;286275;
рандом от 0 до 5;3800;875119;
рандом от 0 до 5;3800;15160599;
рандом от 0 до 5;3800;546543;
рандом от 0 до 5;3800;3367520;
рандом от 0 до 5;3800;70871;
рандом от 0 до 5;3800;27706365;
рандом от 0 до 5;3800;361682;
