Number of substitution;Size of text;Size_of_alphabet;Size of pattern;Type of algorithm;Time(ns)
0;100000;2;2300;Наивный алгоритм;3144888
0;100000;2;2300;Алгоритм КМП с применением стандартных граней;3036610
0;100000;2;2300;Алгоритм КМП с применением уточненных граней;2371898
0;100000;2;2400;Наивный алгоритм;2584128
0;100000;2;2400;Алгоритм КМП с применением стандартных граней;2564798
0;100000;2;2400;Алгоритм КМП с применением уточненных граней;2680857
0;100000;2;2500;Наивный алгоритм;2272821
0;100000;2;2500;Алгоритм КМП с применением стандартных граней;2602377
0;100000;2;2500;Алгоритм КМП с применением уточненных граней;2250417
0;100000;2;2600;Наивный алгоритм;2905671
0;100000;2;2600;Алгоритм КМП с применением стандартных граней;2321567
0;100000;2;2600;Алгоритм КМП с применением уточненных граней;2485563
0;100000;2;2700;Наивный алгоритм;3069220
0;100000;2;2700;Алгоритм КМП с применением стандартных граней;2497458
0;100000;2;2700;Алгоритм КМП с применением уточненных граней;2703340
0;100000;2;2800;Наивный алгоритм;2228247
0;100000;2;2800;Алгоритм КМП с применением стандартных граней;2912414
0;100000;2;2800;Алгоритм КМП с применением уточненных граней;3222195
0;100000;2;2900;Наивный алгоритм;2898989
0;100000;2;2900;Алгоритм КМП с применением стандартных граней;2964761
0;100000;2;2900;Алгоритм КМП с применением уточненных граней;3034134
0;100000;2;3000;Наивный алгоритм;2678500
0;100000;2;3000;Алгоритм КМП с применением стандартных граней;2275270
0;100000;2;3000;Алгоритм КМП с применением уточненных граней;2543132
0;100000;4;100;Наивный алгоритм;2015783
0;100000;4;100;Алгоритм КМП с применением стандартных граней;1831121
0;100000;4;100;Алгоритм КМП с применением уточненных граней;1947218
0;100000;4;200;Наивный алгоритм;1836132
0;100000;4;200;Алгоритм КМП с применением стандартных граней;1750771
0;100000;4;200;Алгоритм КМП с применением уточненных граней;2092494
0;100000;4;300;Наивный алгоритм;1786882
0;100000;4;300;Алгоритм КМП с применением стандартных граней;2156359
0;100000;4;300;Алгоритм КМП с применением уточненных граней;2017494
0;100000;4;400;Наивный алгоритм;1847126
0;100000;4;400;Алгоритм КМП с применением стандартных граней;1951925
0;100000;4;400;Алгоритм КМП с применением уточненных граней;1729556
